date, mass
2015-09-10, 21
2015-09-18, 30
2015-09-25, 32
2015-10-02, 38
2015-10-09, 41
2015-10-16, 45
2015-11-10, 59
2016-01-15, 67
2016-01-15, 67
2016-02-23, 77
2016-04-12, 82
2016-05-12, 84
2016-09-25, 95
2016-12-31, 92
2018-02-19, 90
