date, mass
2019-04-04,  3
2019-07-28, 13
2019-09-22, 15
2019-10-06, 22
2019-10-20, 25
2019-11-03, 30
2019-11-17, 32
2019-12-01, 36
2019-12-18, 37
2019-12-31, 39
2020-01-12, 39
2020-01-26, 39
2020-02-10, 39
2020-02-23, 40
2020-03-08, 39
2020-03-28, 41
2020-04-13, 43
