date, mass
2015-09-10, 22
2015-09-18, 26
2015-09-25, 31
2015-10-02, 37
2015-10-09, 41
2015-10-16, 45
2015-11-10, 60
2015-12-12, 70 
2016-01-02, 75 
2016-01-15, 78
2016-01-15, 78
2016-02-23, 84
2016-03-01, 82 
2016-03-24, 81 
2016-03-29, 80 
2016-04-12, 79
2016-05-12, 85
2016-09-25, 92
2016-12-31,103
2017-04-01, 90 
2017-05-01, 86 
2017-06-26, 80 
2017-08-21, 93 
2017-11-22, 99 
2018-02-19, 97
2018-05-21,101 
2018-11-10,102 
2019-01-05,103 
2019-04-15, 90 
2019-05-19, 90 
2019-06-09, 84
